businessName,cashpointName,category,name,price
Bodega 4,,Bebidas,Agua del día,35
Bodega 4,,Bebidas,Limonada simple,45
Bodega 4,,Bebidas,Naranjada simple,50
Bodega 4,,Bebidas,Refresco,35
Bodega 4,,Bebidas,Agua mineral Ciel,35
Bodega 4,,Bebidas,Agua mineral Topo Chico,40
Bodega 4,,Bebidas,Agua mineral Perrier,45
Bodega 4,,Bebidas,Ginger ale Schweppes,35
Bodega 4,,Cerveza artesanal,Colima Piedra Lisa,100
Bodega 4,,Cerveza artesanal,Colima Ticus,100
Bodega 4,,Cerveza artesanal,Minerva Pale Ale,90
Bodega 4,,Cerveza artesanal,Minerva Viena,90
Bodega 4,,Coctelería clásica,Paloma,140
Bodega 4,,Coctelería clásica,Margarita,140
Bodega 4,,Coctelería clásica,Cosmopolitan,140
